date,cases_new,cases_0_4,cases_5_11,cases_12_17,cases_18_29,cases_30_39,cases_40_49,cases_50_59,cases_60_69,cases_70_79,cases_80,deaths_new,icu_covid
2020-01-25,4,0,0,0,0,0,1,0,0,0,0,0.0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-01-29,3,1,0,0,0,1,0,1,0,0,0,0.0,0.0
2020-01-30,1,0,0,0,0,0,1,0,0,0,0,0.0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-02-04,2,0,0,0,0,0,1,0,1,0,0,0.0,0.0
2020-02-05,2,0,1,0,0,0,1,0,0,0,0,0.0,0.0
2020-02-06,2,0,0,0,0,1,1,0,0,0,0,0.0,0.0
2020-02-07,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0
2020-02-08,1,0,0,0,0,0,0,0,1,0,0,0.0,0.0
2020-02-09,1,0,0,0,0,0,0,0,1,0,0,0.0,0.0
2020-02-10,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-02-14,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0
2020-02-15,3,0,0,0,1,1,0,0,0,0,1,0.0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-02-27,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0
2020-02-28,2,0,0,0,0,0,2,0,0,0,0,0.0,0.0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-03-01,4,0,0,0,1,1,1,1,0,0,0,0.0,0.0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2020-03-03,7,0,0,0,0,1,4,2,0,0,0,0.0,0.0
2020-03-04,14,0,0,0,1,2,3,4,4,0,0,0.0,0.0
2020-03-05,5,0,1,0,0,1,2,0,1,0,0,0.0,0.0
2020-03-06,28,0,1,1,3,7,2,11,3,0,0,0.0,0.0
2020-03-07,10,0,1,0,1,0,2,4,2,0,0,0.0,0.0
2020-03-08,6,0,1,0,2,2,0,1,0,0,0,0.0,0.0
2020-03-09,18,0,1,0,1,1,4,6,5,0,0,0.0,0.0
2020-03-10,12,0,0,0,6,3,0,2,0,1,0,0.0,0.0
2020-03-11,20,0,1,1,4,2,1,3,7,1,0,0.0,0.0
2020-03-12,9,0,0,0,0,2,1,3,2,1,0,0.0,0.0
2020-03-13,39,0,0,0,8,10,3,10,4,4,0,0.0,0.0
2020-03-14,41,0,0,0,7,8,10,9,5,2,0,0.0,0.0
2020-03-15,190,1,1,3,35,30,28,35,38,9,1,0.0,0.0
2020-03-16,125,1,2,3,24,20,21,20,22,9,0,0.0,0.0
2020-03-17,120,4,1,3,32,17,26,16,18,2,1,2.0,0.0
2020-03-18,117,0,4,8,14,20,15,29,19,7,0,0.0,0.0
2020-03-19,110,6,0,7,15,19,24,19,16,3,1,0.0,0.0
2020-03-20,130,1,1,7,35,21,21,19,18,4,0,1.0,0.0
2020-03-21,153,6,1,4,29,37,18,22,26,4,3,4.0,0.0
2020-03-22,123,0,2,6,23,31,17,24,17,3,0,4.0,0.0
2020-03-23,212,1,1,4,47,44,26,38,26,8,1,5.0,0.0
2020-03-24,106,1,3,8,22,11,16,22,13,4,1,2.0,69.0
2020-03-25,172,3,1,6,39,18,20,37,31,9,3,3.0,60.0
2020-03-26,235,6,6,18,83,32,20,33,22,3,7,5.0,71.0
2020-03-27,130,2,5,3,28,22,17,28,13,7,3,2.0,75.0
2020-03-28,159,4,1,8,46,23,16,28,19,10,3,6.0,94.0
2020-03-29,150,3,2,6,45,19,17,28,18,7,2,5.0,97.0
2020-03-30,156,4,6,7,47,19,22,29,12,7,1,4.0,90.0
2020-03-31,140,2,2,7,40,27,11,22,19,7,2,5.0,93.0
2020-04-01,142,1,6,9,31,27,12,33,16,3,3,2.0,96.0
2020-04-02,208,2,6,13,54,30,19,39,29,7,1,2.0,93.0
2020-04-03,217,2,4,19,79,38,23,24,13,6,6,5.0,87.0
2020-04-04,150,1,1,8,35,22,24,30,13,1,1,3.0,87.0
2020-04-05,179,6,11,19,45,23,22,24,14,3,6,2.0,84.0
2020-04-06,131,4,9,6,31,13,20,13,23,6,1,2.0,84.0
2020-04-07,170,4,9,14,44,36,13,19,14,6,3,1.0,79.0
2020-04-08,156,3,5,20,38,26,15,22,19,7,0,1.0,77.0
2020-04-09,109,3,2,5,29,27,15,13,13,0,1,2.0,79.0
2020-04-10,118,0,2,11,35,20,9,20,13,3,4,3.0,80.0
2020-04-11,184,4,10,9,43,36,18,19,12,5,1,3.0,66.0
2020-04-12,153,4,8,9,34,26,12,12,13,3,1,5.0,62.0
2020-04-13,134,0,3,11,46,13,15,25,9,1,0,1.0,61.0
2020-04-14,170,1,5,10,61,36,12,15,17,8,0,3.0,54.0
2020-04-15,85,0,3,3,17,16,9,13,18,5,1,2.0,52.0
2020-04-16,110,4,11,15,25,16,15,6,14,1,1,2.0,48.0
2020-04-17,69,1,6,7,19,11,8,6,5,1,2,1.0,48.0
2020-04-18,54,4,0,5,9,14,8,6,4,4,0,0.0,49.0
2020-04-19,84,1,3,7,52,6,6,2,1,1,1,1.0,47.0
2020-04-20,36,0,2,3,16,4,4,2,2,0,3,1.0,47.0
2020-04-21,57,1,0,9,25,9,5,4,4,0,0,2.0,45.0
2020-04-22,50,0,0,4,12,13,5,3,2,2,1,2.0,42.0
2020-04-23,71,2,0,4,30,4,3,2,2,1,1,1.0,41.0
2020-04-24,88,3,0,6,25,5,5,3,1,1,0,1.0,40.0
2020-04-25,51,0,2,3,8,6,4,1,5,1,0,2.0,38.0
2020-04-26,38,0,1,2,4,5,9,4,7,1,0,0.0,38.0
2020-04-27,40,2,2,0,5,6,5,2,2,0,0,1.0,39.0
2020-04-28,31,1,0,1,9,2,2,4,3,0,1,1.0,36.0
2020-04-29,94,0,0,6,66,10,6,2,1,0,0,1.0,36.0
2020-04-30,57,1,2,4,17,16,6,5,2,2,1,2.0,29.0
2020-05-01,69,1,0,3,20,8,2,5,1,0,0,0.0,26.0
2020-05-02,105,3,3,4,34,28,14,11,2,2,0,1.0,26.0
2020-05-03,122,0,2,18,62,13,8,6,1,2,0,1.0,26.0
2020-05-04,55,0,2,4,12,18,8,4,0,0,0,0.0,25.0
2020-05-05,30,0,0,0,11,8,2,2,1,0,1,2.0,20.0
2020-05-06,45,0,0,4,17,10,3,3,4,1,0,0.0,17.0
2020-05-07,39,0,0,2,17,4,3,1,3,1,0,1.0,17.0
2020-05-08,68,0,0,1,33,24,7,1,0,1,0,0.0,17.0
2020-05-09,54,0,0,0,14,28,2,3,0,1,0,1.0,16.0
2020-05-10,67,0,0,5,29,24,4,1,0,1,0,1.0,14.0
2020-05-11,70,4,0,4,20,12,16,8,3,1,0,0.0,18.0
2020-05-12,16,0,0,0,1,3,0,4,1,0,0,1.0,16.0
2020-05-13,37,0,2,0,15,15,1,1,1,1,0,2.0,15.0
2020-05-14,40,0,0,2,11,9,3,0,0,0,0,0.0,13.0
2020-05-15,36,0,0,1,16,2,1,1,2,0,3,0.0,12.0
2020-05-16,17,1,0,1,5,5,2,2,0,0,1,0.0,13.0
2020-05-17,22,0,0,1,11,2,2,2,1,0,0,0.0,17.0
2020-05-18,47,0,0,0,22,8,3,3,1,2,0,1.0,23.0
2020-05-19,37,1,0,1,8,7,7,0,2,1,2,0.0,15.0
2020-05-20,31,1,0,1,8,8,4,4,1,0,0,0.0,11.0
2020-05-21,50,0,0,2,6,2,3,1,1,0,0,1.0,10.0
2020-05-22,78,0,0,8,28,5,6,0,2,0,0,0.0,10.0
2020-05-23,48,1,1,0,22,12,3,4,1,2,1,0.0,10.0
2020-05-24,60,0,1,3,29,14,5,3,2,0,0,0.0,10.0
2020-05-25,172,0,0,2,34,41,10,4,1,0,1,0.0,10.0
2020-05-26,187,1,0,1,26,45,27,9,2,0,0,0.0,10.0
2020-05-27,15,1,0,0,7,1,4,0,0,0,0,0.0,10.0
2020-05-28,10,0,0,1,3,0,2,0,0,0,0,0.0,10.0
2020-05-29,103,0,1,3,27,38,4,2,1,0,0,0.0,10.0
2020-05-30,30,0,0,2,9,1,1,0,3,1,0,0.0,10.0
2020-05-31,57,1,0,2,26,10,9,3,1,0,0,0.0,10.0
2020-06-01,38,1,2,1,23,4,3,1,0,0,0,0.0,9.0
2020-06-02,20,0,1,0,14,3,2,0,0,0,0,0.0,8.0
2020-06-03,93,0,1,29,23,33,1,0,0,0,0,0.0,8.0
2020-06-04,277,1,0,3,109,72,50,24,1,1,0,1.0,8.0
2020-06-05,19,3,0,2,6,3,1,1,0,0,1,1.0,7.0
2020-06-06,37,1,2,3,10,6,5,2,0,0,1,0.0,7.0
2020-06-07,19,0,1,2,7,2,1,3,1,1,0,0.0,7.0
2020-06-08,7,1,0,0,3,3,0,0,0,0,0,0.0,6.0
2020-06-09,7,0,0,0,5,1,0,0,0,0,0,0.0,6.0
2020-06-10,2,0,0,0,1,0,1,0,0,0,0,1.0,5.0
2020-06-11,31,0,0,1,23,4,1,0,0,0,0,1.0,5.0
2020-06-12,33,1,1,1,15,5,2,1,0,0,1,2.0,4.0
2020-06-13,43,6,6,8,8,8,3,2,0,0,2,0.0,4.0
2020-06-14,8,0,0,0,1,0,2,0,0,0,1,0.0,4.0
2020-06-15,41,3,4,3,16,6,4,1,1,1,0,0.0,4.0
2020-06-16,11,0,0,1,5,1,1,2,0,0,0,0.0,4.0
2020-06-17,10,2,0,1,2,1,1,0,3,0,0,0.0,4.0
2020-06-18,14,0,0,0,4,5,3,1,0,1,0,0.0,4.0
2020-06-19,6,0,0,1,1,1,2,0,1,0,0,0.0,3.0
2020-06-20,21,0,0,6,1,1,2,0,4,0,0,0.0,3.0
2020-06-21,16,0,0,0,4,7,1,2,2,0,0,0.0,3.0
2020-06-22,15,0,0,0,6,5,3,1,0,0,0,0.0,2.0
2020-06-23,3,0,0,0,2,0,0,0,0,0,1,0.0,3.0
2020-06-24,6,0,0,1,0,2,3,0,0,0,0,0.0,2.0
2020-06-25,4,0,0,0,1,1,1,0,1,0,0,0.0,2.0
2020-06-26,6,0,0,1,2,1,1,0,1,0,0,0.0,0.0
2020-06-27,10,0,1,2,1,3,1,2,0,0,0,0.0,2.0
2020-06-28,18,1,0,0,10,5,2,0,0,0,0,0.0,3.0
2020-06-29,3,0,1,0,1,1,0,0,0,0,0,0.0,3.0
2020-06-30,2,0,0,0,1,1,0,0,0,0,0,0.0,4.0
2020-07-01,1,0,0,0,1,0,0,0,0,0,0,0.0,5.0
2020-07-02,3,0,0,0,1,0,2,0,0,0,0,0.0,4.0
2020-07-03,5,0,0,0,2,0,1,1,1,0,0,0.0,2.0
2020-07-04,10,1,3,0,0,4,2,0,0,0,0,0.0,2.0
2020-07-05,5,1,0,0,0,1,1,1,1,0,0,0.0,2.0
2020-07-06,5,0,0,0,2,1,2,0,0,0,0,0.0,2.0
2020-07-07,6,0,0,0,3,2,0,1,0,0,0,0.0,2.0
2020-07-08,3,0,0,0,0,2,1,0,0,0,0,0.0,2.0
2020-07-09,6,0,1,1,2,1,0,1,0,0,0,0.0,2.0
2020-07-10,13,0,0,3,2,3,4,0,1,0,0,1.0,3.0
2020-07-11,8,0,0,0,5,1,0,0,0,1,1,0.0,2.0
2020-07-12,14,0,0,0,6,5,1,0,0,0,0,0.0,2.0
2020-07-13,7,0,0,0,2,0,1,3,0,1,0,0.0,3.0
2020-07-14,4,0,0,0,1,1,1,1,0,0,0,0.0,4.0
2020-07-15,5,0,0,0,1,0,3,1,0,0,0,0.0,3.0
2020-07-16,3,0,0,0,1,1,1,0,0,0,0,0.0,1.0
2020-07-17,18,1,2,0,4,6,1,1,3,0,0,1.0,1.0
2020-07-18,9,0,0,0,1,2,1,2,2,1,0,0.0,1.0
2020-07-19,15,0,0,0,3,4,3,2,0,2,0,0.0,1.0
2020-07-20,21,1,0,0,4,3,0,2,1,3,6,0.0,2.0
2020-07-21,15,0,0,1,3,4,5,1,0,1,0,0.0,2.0
2020-07-22,16,0,0,0,4,4,0,4,2,2,0,0.0,4.0
2020-07-23,9,0,0,0,3,4,1,0,1,0,0,0.0,5.0
2020-07-24,21,0,0,0,3,4,10,1,2,0,1,0.0,5.0
2020-07-25,23,0,0,0,5,7,4,4,2,1,0,0.0,2.0
2020-07-26,13,0,1,0,7,2,3,0,0,0,0,1.0,1.0
2020-07-27,7,0,1,0,3,2,0,0,1,0,0,0.0,0.0
2020-07-28,39,1,3,1,8,6,6,9,2,2,0,0.0,1.0
2020-07-29,13,0,0,1,2,5,1,3,1,0,0,1.0,2.0
2020-07-30,8,0,0,0,0,2,1,2,1,2,0,0.0,3.0
2020-07-31,12,0,0,0,2,5,1,3,1,0,0,0.0,3.0
2020-08-01,9,0,0,0,2,1,1,2,2,0,1,0.0,2.0
2020-08-02,14,2,2,1,2,3,1,3,0,0,0,0.0,2.0
2020-08-03,2,0,0,0,1,0,0,0,1,0,0,0.0,2.0
2020-08-04,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0
2020-08-05,21,0,2,1,10,4,1,1,1,1,0,0.0,1.0
2020-08-06,15,1,1,0,4,4,1,3,1,0,0,0.0,2.0
2020-08-07,25,2,1,2,8,4,4,2,2,0,0,0.0,2.0
2020-08-08,7,0,0,0,2,1,3,1,0,0,0,0.0,2.0
2020-08-09,13,0,0,0,3,3,6,0,0,1,0,0.0,2.0
2020-08-10,11,1,0,0,7,1,1,1,0,0,0,0.0,1.0
2020-08-11,9,0,0,0,4,2,2,0,0,1,0,0.0,2.0
2020-08-12,11,0,0,0,3,3,0,3,2,0,0,0.0,1.0
2020-08-13,15,0,0,2,5,2,2,3,1,0,0,0.0,1.0
2020-08-14,20,1,0,0,2,11,1,4,1,0,0,0.0,4.0
2020-08-15,26,2,2,1,3,5,6,4,1,1,1,0.0,6.0
2020-08-16,25,2,1,1,7,7,4,2,0,0,0,0.0,7.0
2020-08-17,12,0,1,2,2,3,0,2,2,0,0,0.0,8.0
2020-08-18,7,2,1,1,1,1,0,0,0,1,0,0.0,8.0
2020-08-19,16,0,2,1,0,3,7,0,2,1,0,0.0,7.0
2020-08-20,5,0,0,0,1,2,0,2,0,0,0,0.0,8.0
2020-08-21,9,0,1,0,4,2,2,0,0,0,0,0.0,7.0
